height (cm), viscosity (Pa*s)
17.030609156959983, 1.3345900154627364
17.02324061849672, 1.3333347037530245
16.991724137931033, 1.3341307120331618
16.985174184561263, 1.3349889503876997
16.97821555888722, 1.336224463097797
16.937082694607753, 1.337533179743624
16.93518679016656, 1.3396439756420209
16.935068090954523, 1.3411682778118688
16.92870564717641, 1.3411442909109583
16.90905163418291, 1.3420710713778838
16.84379892406738, 1.3408779463260383
16.838220995885038, 1.3409042051810354
16.837571214392803, 1.3419922615438415
16.83027747664629, 1.341897716386061
16.827440324781428, 1.3411822772902375
16.821543270917733, 1.3412403398190071
16.78696251874063, 1.3422484440848248
16.7791662789295, 1.3428558302518911
16.765396190793492, 1.3433735918315672
16.74678644284415, 1.3442299564718219
16.727444907683143, 1.3434354791605407
16.68520094791314, 1.3432643058170646
16.681828736794394, 1.3429092623548016
